feature,mean_importance
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C8),-1.1102230246251565e-16
Pyruvate_kinase,-8.881784197001253e-17
Glycerol-3-phosphate_dehydrogenase_(NAD),-8.881784197001253e-17
3-hexulose-6-phosphate_synthase,-8.881784197001253e-17
Aldehyde_dehydrogenase_(acetaldehyde-_NAD),-8.881784197001253e-17
Lactate_racemase,-8.881784197001253e-17
Carbon_monoxide_dehydrogenase_acetyl-CoA_synthase_2,-8.881784197001253e-17
D-lactate_dehydrogenase,-8.881784197001253e-17
FMN_reductase,-8.881784197001253e-17
Acyl-CoA_dehydrogenase_(butanoyl-CoA),-8.881784197001253e-17
Ferredoxin---NADP+_reductase,-8.881784197001253e-17
Acetate_kinase,-8.881784197001253e-17
Hexokinase_(D-glucose-ATP),-8.881784197001253e-17
complex_Acyl-CoA_Hydrolase_(C7-0),-8.881784197001253e-17
Pyruvate_decarboxylase,-6.661338147750939e-17
Phosphoketolase_(xylulose-5-phosphate_utilizing),-6.661338147750939e-17
Phosphofructokinase,-6.661338147750939e-17
Deoxyribose-phosphate_aldolase,-6.661338147750939e-17
Succinate-semialdehyde_dehydrogenase_(NADP),-6.661338147750939e-17
UDPglucose--hexose-1-phosphate_uridylyltransferase,-6.661338147750939e-17
Sedoheptulose_1-7-bisphosphate_aldolase,-6.661338147750939e-17
Propanoyl-CoA-_succinate_CoA-transferase,-6.661338147750939e-17
Fructose-bisphosphate_aldolase,-6.661338147750939e-17
Phosphoenolpyruvate_carboxylase,-6.661338147750939e-17
Enolase,-6.661338147750939e-17
B-galactosidase,-6.661338147750939e-17
complex_Acyl-CoA_Hydrolase_(C5-0),-6.661338147750939e-17
complex_Acyl-CoA_Hydrolase_(C4-0),-6.661338147750939e-17
complex_Acyl-CoA_Hydrolase_(C8-0),-6.661338147750939e-17
Transaldolase,-6.661338147750939e-17
2-oxoglutarate_ferredoxin_oxidoreductase,-6.661338147750939e-17
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyheptanoyl-CoA),-6.661338147750939e-17
Aspartate_transaminase,-6.661338147750939e-17
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyhexanoyl-CoA),-6.661338147750939e-17
complex_Ferredoxin-NAD_oxidoreductase_(2_protons_translocated),-6.661338147750939e-17
L-lactate_dehydrogenase,-6.661338147750939e-17
Phosphoglycerate_mutase,-6.661338147750939e-17
Glucose_6_phosphate_isomerase,-6.661338147750939e-17
Aldose_1-epimerase,-6.661338147750939e-17
Arabino-3-hexulose-6-P_Isomerase,-6.661338147750939e-17
3-hydroxyacyl-CoA_dehydratase_(3-hydroxypentanoyl-CoA),-6.661338147750939e-17
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C6),-6.661338147750939e-17
3-hydroxyacyl-CoA_dehydratase_(3-hydroxyoctanoyl-CoA),-6.661338147750939e-17
Phosphoglycerate_kinase,-4.4408920985006264e-17
complex_CoA_Transferase_(C4-0-C2-0),-4.4408920985006264e-17
2-dehydro-3-deoxy-phosphogluconate_aldolase,-4.4408920985006264e-17
Phosphoenolpyruvate_synthase,-4.4408920985006264e-17
Dihydroxyacetone_kinase,-4.4408920985006264e-17
D-xylose_transport_via_ABC_system,-4.4408920985006264e-17
6-phosphogluconate_dehydratase,-4.4408920985006264e-17
complex_Acyl-CoA_Hydrolase_(C6-0),-4.4408920985006264e-17
Deoxyribokinase,-4.4408920985006264e-17
Propionyl-CoA_carboxylase,-4.4408920985006264e-17
Acetyl-CoA_carboxylase,-4.4408920985006264e-17
Succinate_Coa_ligase_ADP_forming,-4.4408920985006264e-17
Acetyl-CoA_synthetase,-4.4408920985006264e-17
Inorganic_diphosphatase,-4.4408920985006264e-17
Phosphopentomutase,-4.4408920985006264e-17
Galactose-6-phosphate_isomerase,-4.4408920985006264e-17
Lactoylglutathione_lyase,-4.4408920985006264e-17
3-hydroxyacyl-CoA_dehydratase_(3-hydroxybutanoyl-CoA),-4.4408920985006264e-17
Aconitate_hydratase,-4.4408920985006264e-17
Fumarase,-4.4408920985006264e-17
complex_ATP_Synthase,-4.4408920985006264e-17
Pyruvate_carboxylase,-4.4408920985006264e-17
Lactate_CoA_transferase_(acetyl-CoA),-4.4408920985006264e-17
3-hydroxybutyryl-CoA_dehydrogenase_(NADP),-4.4408920985006264e-17
Acyl-CoA_dehydrogenase_(pentanoyl-CoA),-4.4408920985006264e-17
Acryloyl-CoA_reductase,-4.4408920985006264e-17
Electron_bifurcating_lactate_dehydrogenase,-4.4408920985006264e-17
Aldehyde_dehydrogenase_formaldehyde_NAD,-4.4408920985006264e-17
Lactaldehyde_dehydrogenase,-4.4408920985006264e-17
Glyceraldehyde-3-phosphate_dehydrogenase,-4.4408920985006264e-17
Acyl-CoA_dehydrogenase_(hexanoyl-CoA),-4.4408920985006264e-17
(FeFe)-hydrogenase-_cytoplasm,-4.4408920985006264e-17
Gamma-hydroxybutyrate_dehydrogenase_(NADH),-4.4408920985006264e-17
2-Oxoglutarate_dehydrogenase,-4.4408920985006264e-17
Phosphogluconate_dehydrogenase_(NAD),-4.4408920985006264e-17
Citrate_synthase,-4.4408920985006264e-17
Isocitrate_dehydrogenase_(NAD),-4.4408920985006264e-17
Malic_enzyme_(NADP),-4.4408920985006264e-17
Phosphogluconate_dehydrogenase,-4.4408920985006264e-17
Oxaloacetate_decarboxylase,-2.2204460492503132e-17
Glucose_6-phosphate_dehydrogenase,-2.2204460492503132e-17
Phosphoenolpyruvate_carboxykinase_(ATP),-2.2204460492503132e-17
Methylmalonyl-CoA_epimerase,-2.2204460492503132e-17
Methylmalonyl-CoA_mutase,-2.2204460492503132e-17
Lactoyl_CoA_dehydratase,-2.2204460492503132e-17
Tagatose-bisphosphate_aldolase,-2.2204460492503132e-17
Phosphoglucomutase,-2.2204460492503132e-17
Glucose-6-phosphate_isomerase,-2.2204460492503132e-17
3-hydroxyacyl-CoA_dehydrogenase_(3-oxooctanoyl-CoA),-2.2204460492503132e-17
Isocitrate_dehydrogenase_(NADP),-2.2204460492503132e-17
Glycerol-3-phosphate_dehydrogenase_(NADP),-2.2204460492503132e-17
3-hydroxyacyl-CoA_dehydrogenase_(3-oxohexanoyl-CoA),-2.2204460492503132e-17
Malate_dehydrogenase,-2.2204460492503132e-17
Tagatose-6-phosphate_kinase,-2.2204460492503132e-17
Hydroxyacylglutathione_hydrolase,-2.2204460492503132e-17
Xylulokinase,-2.2204460492503132e-17
NAD_kinase,-2.2204460492503132e-17
Glycerol_kinase,-2.2204460492503132e-17
Butanoyl-CoA-acetyl-CoA_C-butanoyltransferase,-2.2204460492503132e-17
6-phosphogluconolactonase,-2.2204460492503132e-17
Acetyl-CoA_C-acetyltransferase,-2.2204460492503132e-17
complex_Hydroxy-Acyl-CoA_Thioesterase,-2.2204460492503132e-17
D-glucose_transport_via_PEP-Pyr_PTS,-2.2204460492503132e-17
6-phospho-beta-galactosidase,-2.2204460492503132e-17
Lactose-galactose_antiporter,-2.2204460492503132e-17
Propionate_CoA_Transferase,-2.2204460492503132e-17
Acetyl-CoA_C-acyltransferase_(3-oxovaleryl-CoA),-2.2204460492503132e-17
Transketolase_2,-2.2204460492503132e-17
D_galactose_transport_via_proton_symport,-2.2204460492503132e-17
Alcohol_dehydrogenase_(ethanol),-2.2204460492503132e-17
complex_CoA_Transferase_(C7-0-C2-0),-2.2204460492503132e-17
CoA_Transferase_(C8-0-C2-0),-2.2204460492503132e-17
Methyltetrahydrofolate-corrinoid/iron-sulfur_protein_methyltransferase_(MeTr),-2.2204460492503132e-17
Formate-tetrahydrofolate_ligase,-2.2204460492503132e-17
5-10-methylenetetrahydrofolate_reductase_(NADH),-2.2204460492503132e-17
Acyl-CoA_dehydrogenase_(heptanoyl-CoA),-2.2204460492503132e-17
Succinyl-CoA-acetate_CoA_transferase,-2.2204460492503132e-17
Xylose_isomerase,-2.2204460492503132e-17
Lactose_transport_via_proton_symport,0.0
Lactose_transport_via_PEP-Pyr_PTS,0.0
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(heptanoyl-CoA),0.0
Ribose-5-phosphate_isomerase,0.0
complex_Electron_Bifurcating_Acyl-CoA_dehydrogenase_(pentanoyl-CoA),0.0
Succinate-semialdehyde_dehydrogenase_(NAD),0.0
complex_Electron_Bifurcating_Acyl-CoA_Dehydrogenase_(C4),0.0
Ribokinase,0.0
ATP_Citrate_Lyase,0.0
Acetyl-CoA_C-acyltransferase_(3-oxoheptanoyl-CoA),0.0
Galactokinase,0.0
Acyl-CoA_dehydrogenase_(octanoyl-CoA),0.0
NAD(P)_transhydrogenase,0.0
Pyruvate_formate_lyase,0.0
Malic_Enzyme_(NAD),0.0
Acetyl-CoA_synthase,0.0
Transketolase_1,0.0
Hexanoyl-CoA-acetyl-CoA_C-acyltransferase,0.0
4-hydroxybutanoyl-CoA_dehydratase,0.006424863120393453
3-hydroxyacyl-CoA_dehydrogenase_(acetoacetyl-CoA),0.017157449277323322
3-hydroxyacyl-CoA_dehydrogenase_(3-oxovaleryl-CoA),0.022112807593480267
Methylglyoxal_synthase,0.03390125524526577
complex_CoA_Transferase_(C5-0-C2-0),0.0385769596903883
complex_CoA_Transferase_(C6-0-C2-0),0.05392466334243222
Phosphoketolase_(fructose-6-phosphate_utilizing),0.058021203573191585
4-hydroxybutyrate_coenzyme_a_transferase,0.17937239066452268
complex_Pyruvate_flavodoxin_oxidoreductase,0.1852082779186848
